sku,mean_dispensed,std_dispensed,cv_dispensed
1fc36e6327e578011358e52fcedfda9a,3.1666666666666665,2.8044549880022176,0.8856173646322792
9d60025d39c34f6d75a0110e3957b79b,1.6120689655172413,1.3690463308712248,0.849247991342578
d8f674f1baeb28ba583c9c467e67365d,2.908108108108108,2.4532868667127787,0.8436023612302306
01bdf04bb36dfcd94a9ef6fce31afc59,1.7665369649805447,1.2929982989808282,0.7319395657226274
912562560d2e2e4558eed7feaaf1cba1,3.6237785016286646,2.626907085965787,0.7249082924867385
59aeef56921214e309d716079777bdbc,2.3420523138832996,1.6919228816882643,0.7224103713050407
9d65874b97267d3f2ec157913f6db867,3.609984399375975,2.571021228229405,0.712197323809442
a7f48cf1fe39ef9712cb253ca5fe8bc5,1.2222222222222223,0.8614745293854453,0.7048427967699098
66133559e0f832da8500b2127d18f9dc,2.2175438596491226,1.555660089896295,0.7015239329437406
32e94919418a4d9229b1dff305c6a2c8,2.707317073170732,1.8780196053282923,0.6936829172834232
2f621fea30f47fc68073c52acc1a1108,12.294765840220386,8.443476985239318,0.6867537857140651
82105f54039064dbddc2d59efa5377be,3.388719512195122,2.300971094161836,0.6790090138417294
55a9483712810e661fa83bbeb780d8ba,1.8084677419354838,1.2216931746959747,0.6755404845587553
50f94b672688a4fff0f7d4af64f3ac98,1.8888888888888888,1.2597677268325866,0.6669358553819577
af90bd893233dab67c0e4adcf04fca82,8.637426900584796,5.727599037470558,0.6631140388676137
e2f0ae8b2db933987082ffb201f5a5ed,12.75206611570248,8.411762856022955,0.6596392129480088
46c5e5cfed715631dafd6ef3774314ac,2.6872964169381106,1.7669989637146204,0.6575377961944103
6673fe322a6101dadd4495a200f4223b,3.890909090909091,2.533581873270864,0.6511542197658762
6049baba09d0c82b678cf212f8c3d66b,2.729131175468484,1.7651981958060525,0.6467985898490342
9e1c6962a908ab352a3beb0671b732e5,2.4338919925512106,1.5668577534849526,0.6437663455404893
0851360c24bcd12096d67958f654db59,2.3129496402877696,1.4884218394776743,0.64351675174929
d4f9dbd5a584b1b9f58285e01c443919,6.466476462196861,4.151843342224484,0.6420565150892044
033b262dad9e437f1864d875e073b328,2.0988372093023258,1.3437805691808191,0.6402500218811659
16eff917bdf1fbe64883aa4bb8b4a1f8,2.143712574850299,1.3679566474203617,0.638125028265923
1b28e970471a105335f8c9d673940d58,2.5289256198347108,1.610392646154161,0.6367892489694558
44e72784da42f678759255c10c78a5fa,1.8149779735682818,1.1455433847362049,0.6311610396483459
30ab8e0c136827fb3fd120a2ece62897,3.412037037037037,2.150082170569916,0.6301461992443715
89d8c198152456e1960e798f873c282f,4.59479015918958,2.8652190255892602,0.6235799517109225
9ca540b446c8a33d4d0fde448acc26dd,2.6351118760757317,1.6403551537900596,0.6224992451678801
05d98e5c2603bf927952aa3eb74d1fc3,16.63961485557084,10.314715683482207,0.6198890883600532
d02640f72095f6b49a01a813b3f287f9,5.738589211618257,3.5138757441979953,0.612323972777814
099cc517501503ede4c1646885d437d7,4.22672064777328,2.583536299777996,0.6112389521505411
abc8b5d901bd3d2178a6ae3c7392227d,12.497118155619596,7.545675656971895,0.6037932556138009
cf7905882011327f64f363146d2967cb,1.8039568345323742,1.0411629801748326,0.577155151522639
be61be55295db1941eaf232ee6288fa7,24.966906474820142,14.323367118231397,0.5736941071444688
1987e6b98c8edc352a961cc293ffe981,5.765891472868217,3.303877265911005,0.5730037204927664
dbfa0f905c5f2cf16d9363eec63878a4,2.1052631578947367,1.2017007649649105,0.5708078633583326
44f0d77c1f85d9f46a31391fc406fa27,2.6546875,1.5088087402165948,0.5683564412822959
baf46a5df691307a05dcf23887f2099a,1.9328621908127208,1.090139849152176,0.5640028835650198
4a37f2a01e5bcb8047c22d426ace10f3,1.8093525179856116,1.018558747620386,0.5629410175715055
a6d4efc4d6cd6002d8865e38a2cfe3f2,1.8458498023715415,1.0331569401912937,0.5597188562492448
e7a4234982d59d2711cfd3f76de866ff,1.3463414634146342,0.7488872663713425,0.5562387304569754
13f6ca567dde83523d4c883c16b98148,2.5063897763578273,1.3789703062181249,0.5501819067511449
0300087aca6bca74aea4cfa71bbb5adb,7.837950138504155,4.219372823849129,0.538326060932863
66050928694bb6ecbaa264b28365cba8,1.3726937269372694,0.7286668028345302,0.5308298483014992
690b7d2f4218991b6496be8eb456a943,17.632876712328766,9.239951050567209,0.5240183551051945
593e12052ccf13767eb920be91c5b048,4.210601719197708,2.178557809214357,0.5173982139610823
2ecc882f649bf4ea25cf8a1a6eb77b6e,13.185694635488309,6.818174871128693,0.5170887889954683
54db70a2f68c8c06bca03c8547a5b554,1.4692737430167597,0.7580788248505501,0.5159547895370664
5fd43334dbbeb041fc1f6be0ce5c40f6,6.859697386519945,3.5231796646809324,0.5136056980595625
ff9575eadeeb732ad8095286dc2bff82,19.140376266280754,9.815647335343794,0.5128241576230577
f25382528bbc59704a0f32b0f929a532,1.4607329842931938,0.7307368213054365,0.5002535228291698
67f78c604d99fda34d75139394372fb1,1.3125,0.6494503170264175,0.4948192891629848
93d664dddeea2dd49decf97035051e92,22.753103448275862,11.161719648918428,0.4905581198754765
0294e9ff7bc77c29cdd83b6125ee4940,5.148251748251749,2.516690869720185,0.48884378480030755
a5d00bb12cd51265c8d3b0b447d85964,1.4746835443037976,0.7021293100332303,0.4761220213959244
d19b668b7f4c6c8aecc4b979fb85230a,5.297335203366059,2.499147308765103,0.47177443239330646
78baaaf1b752a5358cb6835cf1a7ef8d,14.993103448275862,6.784057269426883,0.45247852072994393
