sku,total_dispensed,total_restocked,turnover
924aa4fc983c1f8364e5bd1f04cbb062,2,89.94,0.022237046920169003
b5089fb99e263d9345bd54e43426a614,41,2145.36,0.019111011671700786
a0b58e14d2d6c95d5c9e8ebb4db73e50,42,2303.9700000000003,0.018229404028698288
a6d4efc4d6cd6002d8865e38a2cfe3f2,467,27594.55,0.016923631659150087
1a9216218ce8ca818adb55ba1cc963c4,72,4419.599999999999,0.016291067064892754
48d1f3625ed89240b0c15486880eb40a,28,2518.37,0.011118302711674615
160173e79ddfe9508c02f8cdb93daff9,19,0.0,
461104747ec72f92b0faf4da6d904934,2,0.0,
67e22bfb70595ff6bd2e46f7fec1252e,1066,0.0,
eaccfd101d1996b58f0c5e9bc6d0b59e,1185,0.0,
